athlete_id,ath_name,ath_gender,ath_dob,country_code
1532872,ALEKSANYAN Artur,M,21/10/1991,ARM
1532873,AMOYAN Malkhas,M,22/01/1999,ARM
1532874,GALSTYAN Slavik,M,21/12/1996,ARM
1532944,HARUTYUNYAN Arsen,M,22/11/1999,ARM
1532945,TEVANYAN Vazgen,M,27/10/1999,ARM
1532951,ARENAS Lorena,F,17/09/1993,COL
1533112,McKENZIE Ashley,M,17/07/1989,JAM
1533136,BASS BITTAYE Gina Mariam,F,3/05/1995,GAM
1533176,CAMARA Ebrahima,M,18/09/1996,GAM
1533188,RUEDA SANTOS Lizeth,F,7/03/1994,MEX
1533189,TAPIA VIDAL Rosa Maria,F,27/08/1997,MEX
1533190,GRAJALES Crisanto,M,6/05/1987,MEX
1533208,MAAROUFOU Hachim,M,13/02/1997,COM
1533209,SAADI Maesha,F,16/01/2007,COM
1533232,SOBRINO Jessica,F,26/05/1994,MEX
1533234,ALFEREZ Regina,F,1/12/1997,MEX
1533235,ARELLANO Fernanda,F,28/02/2002,MEX
1533237,TOSCANO Pamela,F,13/01/2000,MEX
1533239,GONZALEZ Itzamary,F,14/11/2003,MEX
1533240,RODRIGUEZ Samanta,F,5/12/1994,MEX
1533243,INZUNZA Glenda,F,12/03/2000,MEX
1533245,SEHEN Sajjad,M,8/03/1996,IRQ
1533359,RUBAIAWI Ali Ammar Yusur,M,2/08/2004,IRQ
1533364,ISMAIL Mohamed,M,1/01/1997,DJI
1533371,HASSAN Ibrahim,M,1/01/1997,DJI
1533372,WAISS Abdi,M,3/07/1996,DJI
1533374,HASSAN NOUR Samiyah,F,5/12/1999,DJI
1533378,HOUSSEIN BARKAT Houmed,M,4/04/2004,DJI
1535180,BARAT Andy,M,29/11/1997,COM
1535186,MARTINEZ RAMIREZ Miguel Angel,M,17/03/2001,MEX
1535187,VERDE ALVAREZ Marco Alonso,M,11/02/2002,MEX
1535191,GONZALEZ Alegna,F,2/01/1999,MEX
1535195,LOPEZ Jesus Tonatiu,M,2/08/1997,MEX
1535199,PORTILLO Erick,M,5/10/2000,MEX
1535201,MUNOZ Uziel,M,8/09/1995,MEX
1535202,del REAL Diego,M,6/03/1994,MEX
1535203,DOCTOR Jose Luis,M,14/06/1996,MEX
1535212,MORAN Paola,F,25/02/1997,MEX
1535214,GALVAN Laura,F,5/10/1991,MEX
1535216,CORTES Alma Delia,F,26/12/1997,MEX
1535217,CRISTIAN MOSCOTE Citlali,F,15/04/1995,MEX
1535222,PALMA OLIVARES Ever Jair,M,18/03/1992,MEX
1535225,OETLING RAMIREZ Elena,F,18/04/1993,MEX
1535226,AGUILAR CHAVEZ PEON Mariana,F,12/03/1999,MEX
1535252,LECHUGA ALANIS Kenia,F,26/06/1994,MEX
1535260,LOPEZ GARCIA Alexis,M,1/05/1997,MEX
1535267,CARBALLO NIETO Miguel,M,8/07/1992,MEX
1535343,WILLARS VALDEZ Randal,M,30/04/2002,MEX
1535345,BERLIN REYES Kevin,M,25/04/2001,MEX
1535346,OROZCO LOZA Alejandra,F,19/04/1997,MEX
1535348,AGUNDEZ GARCIA Gabriela,F,4/08/2000,MEX
1535349,OLVERA IBARRA Osmar,M,5/06/2004,MEX
1535354,de LARA OJEDA Miguel Alejandro,M,9/08/1994,MEX
1535358,FLORES Sofia,F,20/12/2004,MEX
1535359,SALAZAR Kimberly,F,24/04/2004,MEX
1535360,TEJEDA Adirem,F,21/06/2002,MEX
1535361,ALCOCER Dalia,F,2/01/2004,MEX
1535362,GUTIERREZ Julia,F,13/09/2007,MEX
1535363,HERNANDEZ Emiliano,M,27/01/1998,MEX
1535364,CARRILLO Duilio,M,24/03/1997,MEX
1535365,OLIVER Mayan,F,11/07/1993,MEX
1535366,SANSORES Carlos,M,25/06/1997,MEX
1535367,SOUZA Daniela Paola,F,27/08/1999,MEX
1535368,CLELAND QUINONEZ Alan,M,19/06/2002,MEX
1535373,GRIGORIAN Aram,M,9/06/1998,UAE
1535374,KOSTOEV Dzhafar,M,28/04/1999,UAE
1535375,MAGOMEDOMAROV Magomedomar,M,10/04/2001,UAE
1535376,TATALASHVILI Nugzari,M,20/03/1990,UAE
1535383,BISHRELT Khorloodoi,F,29/05/1998,UAE
1535385,HOUSSEIN Alexandre,M,28/03/1998,DJI
1535395,AL SAYEGH Safia,F,23/09/2001,UAE
1535420,VALENCIA Alejandra,F,17/10/1994,MEX
1535429,RUIZ Angela,F,28/07/2006,MEX
1535430,GRANDE Matias,M,26/04/2004,MEX
