event_id,discipline_code,event_date,event_name,venue_id
CYCMIT001,CYC,27/07/2024,Cycling Road : Men's Individual Time Trial,Ven33
CYCMIT002,CYC,27/07/2024,Cycling Road : Men's Individual Time Trial,Ven33
CYCMIT003,CYC,27/07/2024,Cycling Road : Men's Individual Time Trial,Ven33
CYCWIT001,CYC,27/07/2024,Cycling Road : Women's Individual Time Trial,Ven33
CYCWIT002,CYC,27/07/2024,Cycling Road : Women's Individual Time Trial,Ven33
CYCWIT003,CYC,27/07/2024,Cycling Road : Women's Individual Time Trial,Ven33
DIVWS3001,DIV,27/07/2024,Diving : Women's Synchronised 3m Springboard,Ven1
DIVWS3002,DIV,27/07/2024,Diving : Women's Synchronised 3m Springboard,Ven1
DIVWS3003,DIV,27/07/2024,Diving : Women's Synchronised 3m Springboard,Ven1
FENMSI001,FEN,27/07/2024,Fencing : Men's Sabre Individual,Ven10
FENMSI002,FEN,27/07/2024,Fencing : Men's Sabre Individual,Ven10
FENMSI003,FEN,27/07/2024,Fencing : Men's Sabre Individual,Ven10
JUDM4K001,JUD,27/07/2024,Judo : Men -60 kg,Ven4
JUDM6K002,JUD,27/07/2024,Judo : Men -60 kg,Ven4
JUDMEK003,JUD,27/07/2024,Judo : Men -60 kg,Ven4
JUDM4K004,JUD,27/07/2024,Judo : Men -60 kg,Ven4
JUDWFK001,JUD,27/07/2024,Judo : Women -48 kg,Ven4
JUDWUK002,JUD,27/07/2024,Judo : Women -48 kg,Ven4
JUDW1K003,JUD,27/07/2024,Judo : Women -48 kg,Ven4
JUDWJK004,JUD,27/07/2024,Judo : Women -48 kg,Ven4
RU7M001,RU7,27/07/2024,Rugby Sevens : Men,Ven31
RU7M002,RU7,27/07/2024,Rugby Sevens : Men,Ven31
RU7M003,RU7,27/07/2024,Rugby Sevens : Men,Ven31
SHO1AR001,SHO,27/07/2024,Shooting : 10m Air Rifle Mixed Team,Ven6
SHO1AR002,SHO,27/07/2024,Shooting : 10m Air Rifle Mixed Team,Ven6
SHO1AR003,SHO,27/07/2024,Shooting : 10m Air Rifle Mixed Team,Ven6
SWMM4X001,SWM,27/07/2024,Swimming : Men's 4 x 100m Freestyle Relay,Ven23
SWMM4X002,SWM,27/07/2024,Swimming : Men's 4 x 100m Freestyle Relay,Ven23
