medals_id,medal_code,medal_type,event_id,winner_id,winner_type
med1,2,Silver Medal,WREMG9002,1532872,Athlete
med2,3,Bronze Medal,WREMG7003,1532873,Athlete
med3,2,Silver Medal,BOXM7004,1535187,Athlete
med4,3,Bronze Medal,DIVM3S003,1535349,Athlete
med5,3,Bronze Medal,WREWF7004,1535513,Athlete
med6,3,Bronze Medal,SALMK003,1535852,Athlete
med7,1,Gold Medal,TAEMA001,1536045,Athlete
med8,2,Silver Medal,TAEMB010,1536058,Athlete
med9,3,Bronze Medal,TAEWQ003,1536064,Athlete
med10,2,Silver Medal,TAEWG006,1536067,Athlete
med11,2,Silver Medal,ATHW8002,1536498,Athlete
med12,2,Silver Medal,ATHWTJ002,1536885,Athlete
med13,3,Bronze Medal,ATHW1H003,1537183,Athlete
med14,3,Bronze Medal,WREMF6003,1537188,Athlete
med15,2,Silver Medal,JUDW9K014,1537287,Athlete
med16,1,Gold Medal,ATHW1001,1537325,Athlete
med17,2,Silver Medal,ATHW2002,1537325,Athlete
med18,2,Silver Medal,TAEML006,1537401,Athlete
med19,3,Bronze Medal,SHO5R3003,1538084,Athlete
med20,2,Silver Medal,ROWMSS002,1538160,Athlete
med21,1,Gold Medal,SWMM8F001,1539969,Athlete
med22,3,Bronze Medal,SWMM1F006,1539969,Athlete
med23,1,Gold Medal,WREMF9001,1540305,Athlete
med24,3,Bronze Medal,WLIMS003,1540334,Athlete
med25,1,Gold Medal,BOXW6007,1540353,Athlete
med26,3,Bronze Medal,ARCWI003,1541265,Athlete
med27,2,Silver Medal,WREMF1002,1543088,Athlete
med28,3,Bronze Medal,WREMF9004,1543095,Athlete
med29,3,Bronze Medal,SWMW1B006,1543304,Athlete
med30,2,Silver Medal,WLIM8002,1543506,Athlete
med31,2,Silver Medal,WLIW7002,1543509,Athlete
med32,1,Gold Medal,SWMM2F001,1543549,Athlete
med33,3,Bronze Medal,SWMM1F003,1543549,Athlete
med34,1,Gold Medal,TRIWI001,1543963,Athlete
med35,3,Bronze Medal,TRIMI003,1543967,Athlete
med36,3,Bronze Medal,SKBWP003,1544123,Athlete
med37,3,Bronze Medal,WLIWI003,1544179,Athlete
med38,1,Gold Medal,SPCMBT001,1544218,Athlete
med39,2,Silver Medal,WLIMV002,1544424,Athlete
med40,2,Silver Medal,WREMF8002,1544803,Athlete
med41,2,Silver Medal,WREMF6002,1544830,Athlete
med42,2,Silver Medal,WREMG8002,1544880,Athlete
med43,3,Bronze Medal,WREMG1003,1544882,Athlete
med44,1,Gold Medal,WREMG9001,1544897,Athlete
med45,1,Gold Medal,WREMG6005,1544928,Athlete
med46,2,Silver Medal,MDPWI002,1545116,Athlete
med47,3,Bronze Medal,TAEMT004,1548401,Athlete
med48,2,Silver Medal,GRYIA002,1548948,Athlete
med49,3,Bronze Medal,WREMG8003,1550116,Athlete
med50,2,Silver Medal,WREMG6006,1550119,Athlete
med51,2,Silver Medal,WLIW4002,1550148,Athlete
med52,2,Silver Medal,JUDWTK006,1550162,Athlete
med53,3,Bronze Medal,JUDWGK016,1550167,Athlete
med54,3,Bronze Medal,BOXM6022,1550184,Athlete
med55,2,Silver Medal,ATHMJT002,1550250,Athlete
med56,3,Bronze Medal,CSPMCS003,1550295,Athlete
med57,1,Gold Medal,CNSMKS001,1550975,Athlete
med58,2,Silver Medal,WLIM1002,1551307,Athlete
med59,3,Bronze Medal,SHO1AP003,1551387,Athlete
med60,2,Silver Medal,SHO1AP002,1551388,Athlete
med61,1,Gold Medal,WLIMA001,1551443,Athlete
med62,3,Bronze Medal,ATHMTJ003,1552375,Athlete
med63,3,Bronze Medal,ATHMLJ003,1552378,Athlete
med64,2,Silver Medal,WREMF9002,1552495,Athlete
med65,3,Bronze Medal,MDPMI003,1553031,Athlete
med66,1,Gold Medal,WREMF1001,1554885,Athlete
med67,2,Silver Medal,TENWS003,1554972,Athlete
med68,1,Gold Medal,BOXW6003,1555098,Athlete
med69,3,Bronze Medal,BOXM5006,1555185,Athlete
med70,1,Gold Medal,ATHM3S001,1555372,Athlete
med71,1,Gold Medal,BOXM6003,1555537,Athlete
med72,3,Bronze Medal,BOXM8002,1555548,Athlete
med73,1,Gold Medal,BOXM5003,1556045,Athlete
med74,1,Gold Medal,BOXM5007,1556049,Athlete
med75,1,Gold Medal,BOXM7003,1556797,Athlete
med76,1,Gold Medal,BOXM9003,1556860,Athlete
med77,1,Gold Medal,BOXM0003,1556869,Athlete
med78,1,Gold Medal,WREMF8001,1556873,Athlete
med79,3,Bronze Medal,WREMF6004,1559387,Athlete
med80,1,Gold Medal,WREMG8001,1559471,Athlete
med81,2,Silver Medal,SALWK002,1559512,Athlete
