team_id,event_id
ARCMTEAM3---CHN01,ARCMT001
ARCMTEAM3---COL01,ARCMT001
ARCMTEAM3---FRA01,ARCMT001
ARCMTEAM3---GBR01,ARCMT001
ARCMTEAM3---IND01,ARCMT001
ARCMTEAM3---ITA01,ARCMT001
ARCMTEAM3---JPN01,ARCMT001
ARCMTEAM3---KAZ01,ARCMT001
ARCMTEAM3---KOR01,ARCMT001
ARCMTEAM3---MEX01,ARCMT001
ARCMTEAM3---TPE01,ARCMT001
ARCMTEAM3---TUR01,ARCMT001
ARCWTEAM3---CHN01,ARCWT001
ARCWTEAM3---FRA01,ARCWT001
ARCWTEAM3---GBR01,ARCWT001
ARCWTEAM3---GER01,ARCWT001
ARCWTEAM3---INA01,ARCWT001
ARCWTEAM3---IND01,ARCWT001
ARCWTEAM3---KOR01,ARCWT001
ARCWTEAM3---MAS01,ARCWT001
ARCWTEAM3---MEX01,ARCWT001
ARCWTEAM3---NED01,ARCWT001
ARCWTEAM3---TPE01,ARCWT001
ARCWTEAM3---USA01,ARCWT001
ARCXTEAM2---AUS01,ARCMT004
ARCXTEAM2---BRA01,ARCMT004
ARCXTEAM2---CAN01,ARCMT004
ARCXTEAM2---CHN01,ARCMT004
ARCXTEAM2---COL01,ARCMT004
ARCXTEAM2---CZE01,ARCMT004
ARCXTEAM2---EGY01,ARCMT004
ARCXTEAM2---ESP01,ARCMT004
ARCXTEAM2---FRA01,ARCMT004
ARCXTEAM2---GBR01,ARCMT004
ARCXTEAM2---GER01,ARCMT004
ARCXTEAM2---INA01,ARCMT004
ARCXTEAM2---IND01,ARCMT004
ARCXTEAM2---ISR01,ARCMT004
ARCXTEAM2---ITA01,ARCMT004
ARCXTEAM2---JPN01,ARCMT004
ARCXTEAM2---KOR01,ARCMT004
ARCXTEAM2---MDA01,ARCMT004
ARCXTEAM2---MEX01,ARCMT004
ARCXTEAM2---NED01,ARCMT004
ARCXTEAM2---TPE01,ARCMT004
ARCXTEAM2---TUR01,ARCMT004
ARCXTEAM2---UKR01,ARCMT004
ARCXTEAM2---USA01,ARCMT004
ARCXTEAM2---UZB01,ARCMT004
ARCXTEAM2---VIE01,ARCMT004
ATHM4X100M--AUS01,ATHM4X001
ATHM4X100M--BRA01,ATHM4X001
ATHM4X100M--CAN01,ATHM4X001
ATHM4X100M--CHN01,ATHM4X001
ATHM4X100M--FRA01,ATHM4X001
ATHM4X100M--GBR01,ATHM4X001
ATHM4X100M--GER01,ATHM4X001
ATHM4X100M--GHA01,ATHM4X001
ATHM4X100M--ITA01,ATHM4X001
ATHM4X100M--JAM01,ATHM4X001
ATHM4X100M--JPN01,ATHM4X001
ATHM4X100M--LBR01,ATHM4X001
