team_id,country_code
ARCMTEAM3---CHN01,CHN
ARCMTEAM3---COL01,COL
ARCMTEAM3---FRA01,FRA
ARCMTEAM3---GBR01,GBR
ARCMTEAM3---IND01,IND
ARCMTEAM3---ITA01,ITA
ARCMTEAM3---JPN01,JPN
ARCMTEAM3---KAZ01,KAZ
ARCMTEAM3---KOR01,KOR
ARCMTEAM3---MEX01,MEX
ARCMTEAM3---TPE01,TPE
ARCMTEAM3---TUR01,TUR
ARCWTEAM3---CHN01,CHN
ARCWTEAM3---FRA01,FRA
ARCWTEAM3---GBR01,GBR
ARCWTEAM3---GER01,GER
ARCWTEAM3---INA01,INA
ARCWTEAM3---IND01,IND
ARCWTEAM3---KOR01,KOR
ARCWTEAM3---MAS01,MAS
ARCWTEAM3---MEX01,MEX
ARCWTEAM3---NED01,NED
ARCWTEAM3---TPE01,TPE
ARCWTEAM3---USA01,USA
ARCXTEAM2---AUS01,AUS
ARCXTEAM2---BRA01,BRA
ARCXTEAM2---CAN01,CAN
ARCXTEAM2---CHN01,CHN
ARCXTEAM2---COL01,COL
ARCXTEAM2---CZE01,CZE
ARCXTEAM2---EGY01,EGY
ARCXTEAM2---ESP01,ESP
ARCXTEAM2---FRA01,FRA
ARCXTEAM2---GBR01,GBR
ARCXTEAM2---GER01,GER
ARCXTEAM2---INA01,INA
ARCXTEAM2---IND01,IND
ARCXTEAM2---ISR01,ISR
ARCXTEAM2---ITA01,ITA
ARCXTEAM2---JPN01,JPN
ARCXTEAM2---KOR01,KOR
ARCXTEAM2---MDA01,MDA
ARCXTEAM2---MEX01,MEX
ARCXTEAM2---NED01,NED
ARCXTEAM2---TPE01,TPE
ARCXTEAM2---TUR01,TUR
ARCXTEAM2---UKR01,UKR
ARCXTEAM2---USA01,USA
ARCXTEAM2---UZB01,UZB
ARCXTEAM2---VIE01,VIE
ATHM4X100M--AUS01,AUS
ATHM4X100M--BRA01,BRA
ATHM4X100M--CAN01,CAN
ATHM4X100M--CHN01,CHN
ATHM4X100M--FRA01,FRA
ATHM4X100M--GBR01,GBR
ATHM4X100M--GER01,GER
ATHM4X100M--GHA01,GHA
ATHM4X100M--ITA01,ITA
ATHM4X100M--JAM01,JAM
ATHM4X100M--JPN01,JPN
ATHM4X100M--LBR01,LBR
ATHM4X100M--NED01,NED
ATHM4X100M--NGR01,NGR
ATHM4X100M--RSA01,RSA
ATHM4X100M--USA01,USA
ATHM4X400M--BEL01,BEL
ATHM4X400M--BOT01,BOT
ATHM4X400M--BRA01,BRA
ATHM4X400M--ESP01,ESP
ATHM4X400M--FRA01,FRA
ATHM4X400M--GBR01,GBR
ATHM4X400M--GER01,GER
ATHM4X400M--IND01,IND
ATHM4X400M--ITA01,ITA
ATHM4X400M--JPN01,JPN
ATHM4X400M--NGR01,NGR
ATHM4X400M--POL01,POL
ATHM4X400M--RSA01,RSA
ATHM4X400M--TTO01,TTO
ATHM4X400M--USA01,USA
ATHM4X400M--ZAM01,ZAM
ATHW4X100M--AUS01,AUS
ATHW4X100M--BEL01,BEL
ATHW4X100M--CAN01,CAN
ATHW4X100M--CIV01,CIV
ATHW4X100M--ESP01,ESP
ATHW4X100M--FRA01,FRA
ATHW4X100M--GBR01,GBR
ATHW4X100M--GER01,GER
ATHW4X100M--ITA01,ITA
ATHW4X100M--JAM01,JAM
ATHW4X100M--NED01,NED
ATHW4X100M--NGR01,NGR
ATHW4X100M--POL01,POL
ATHW4X100M--TTO01,TTO
ATHW4X100M--USA01,USA
ATHW4X400M--BEL01,BEL
ATHW4X400M--CAN01,CAN
ATHW4X400M--CUB01,CUB
ATHW4X400M--ESP01,ESP
ATHW4X400M--FRA01,FRA
ATHW4X400M--GBR01,GBR
ATHW4X400M--GER01,GER
ATHW4X400M--IND01,IND
ATHW4X400M--IRL01,IRL
ATHW4X400M--ITA01,ITA
ATHW4X400M--JAM01,JAM
ATHW4X400M--NED01,NED
ATHW4X400M--NOR01,NOR
ATHW4X400M--POL01,POL
ATHW4X400M--USA01,USA
ATHX42KWALKTAUS01,AUS
ATHX42KWALKTAUS02,AUS
ATHX42KWALKTBRA01,BRA
ATHX42KWALKTCAN01,CAN
ATHX42KWALKTCHN01,CHN
ATHX42KWALKTCHN02,CHN
ATHX42KWALKTCOL01,COL
ATHX42KWALKTCOL02,COL
ATHX42KWALKTCZE01,CZE
ATHX42KWALKTECU01,ECU
ATHX42KWALKTESP01,ESP
ATHX42KWALKTESP02,ESP
ATHX42KWALKTFRA01,FRA
ATHX42KWALKTGER01,GER
ATHX42KWALKTHUN01,HUN
ATHX42KWALKTIND01,IND
ATHX42KWALKTITA01,ITA
ATHX42KWALKTJPN01,JPN
ATHX42KWALKTJPN02,JPN
ATHX42KWALKTMEX01,MEX
ATHX42KWALKTPER01,PER
ATHX42KWALKTPOL01,POL
ATHX42KWALKTSVK01,SVK
ATHX42KWALKTTUR01,TUR
ATHX42KWALKTUKR01,UKR
ATHX4X400M--BAH01,BAH
ATHX4X400M--BEL01,BEL
ATHX4X400M--DOM01,DOM
ATHX4X400M--FRA01,FRA
ATHX4X400M--GBR01,GBR
ATHX4X400M--GER01,GER
ATHX4X400M--IRL01,IRL
ATHX4X400M--ITA01,ITA
ATHX4X400M--JAM01,JAM
ATHX4X400M--KEN01,KEN
ATHX4X400M--NED01,NED
ATHX4X400M--NGR01,NGR
ATHX4X400M--POL01,POL
ATHX4X400M--UKR01,UKR
ATHX4X400M--USA01,USA
BDMMDOUBLES-CAN01,CAN
BDMMDOUBLES-CHN01,CHN
BDMMDOUBLES-CHN02,CHN
BDMMDOUBLES-CZE01,CZE
BDMMDOUBLES-DEN01,DEN
BDMMDOUBLES-FRA01,FRA
BDMMDOUBLES-FRA02,FRA
BDMMDOUBLES-GBR01,GBR
BDMMDOUBLES-GER01,GER
BDMMDOUBLES-INA01,INA
BDMMDOUBLES-IND01,IND
BDMMDOUBLES-JPN01,JPN
BDMMDOUBLES-KOR01,KOR
BDMMDOUBLES-MAS01,MAS
BDMMDOUBLES-THA01,THA
BDMMDOUBLES-TPE01,TPE
BDMMDOUBLES-USA01,USA
BDMWDOUBLES-AUS01,AUS
BDMWDOUBLES-BUL01,BUL
BDMWDOUBLES-CHN01,CHN
BDMWDOUBLES-CHN02,CHN
BDMWDOUBLES-DEN01,DEN
BDMWDOUBLES-FRA01,FRA
BDMWDOUBLES-HKG01,HKG
BDMWDOUBLES-INA01,INA
BDMWDOUBLES-IND01,IND
BDMWDOUBLES-JPN01,JPN
BDMWDOUBLES-JPN02,JPN
BDMWDOUBLES-KOR01,KOR
BDMWDOUBLES-KOR02,KOR
BDMWDOUBLES-MAS01,MAS
BDMWDOUBLES-THA01,THA
BDMWDOUBLES-USA01,USA
BDMXDOUBLES-ALG01,ALG
BDMXDOUBLES-CHN01,CHN
BDMXDOUBLES-CHN02,CHN
BDMXDOUBLES-DEN01,DEN
BDMXDOUBLES-FRA01,FRA
BDMXDOUBLES-HKG01,HKG
BDMXDOUBLES-INA01,INA
BDMXDOUBLES-JPN01,JPN
BDMXDOUBLES-KOR01,KOR
BDMXDOUBLES-KOR02,KOR
BDMXDOUBLES-MAS01,MAS
BDMXDOUBLES-NED01,NED
BDMXDOUBLES-SGP01,SGP
BDMXDOUBLES-THA01,THA
BDMXDOUBLES-TPE01,TPE
BDMXDOUBLES-USA01,USA
BK3MTEAM3---CHN01,CHN
BK3MTEAM3---FRA01,FRA
BK3MTEAM3---LAT01,LAT
BK3MTEAM3---LTU01,LTU
BK3MTEAM3---NED01,NED
BK3MTEAM3---POL01,POL
BK3MTEAM3---SRB01,SRB
BK3MTEAM3---USA01,USA
BK3WTEAM3---AUS01,AUS
BK3WTEAM3---AZE01,AZE
BK3WTEAM3---CAN01,CAN
BK3WTEAM3---CHN01,CHN
BK3WTEAM3---ESP01,ESP
BK3WTEAM3---FRA01,FRA
BK3WTEAM3---GER01,GER
BK3WTEAM3---USA01,USA
BKBMTEAM5---AUS01,AUS
BKBMTEAM5---BRA01,BRA
BKBMTEAM5---CAN01,CAN
BKBMTEAM5---ESP01,ESP
BKBMTEAM5---FRA01,FRA
BKBMTEAM5---GER01,GER
BKBMTEAM5---GRE01,GRE
BKBMTEAM5---JPN01,JPN
BKBMTEAM5---PUR01,PUR
BKBMTEAM5---SRB01,SRB
BKBMTEAM5---SSD01,SSD
BKBMTEAM5---USA01,USA
BKBWTEAM5---AUS01,AUS
BKBWTEAM5---BEL01,BEL
BKBWTEAM5---CAN01,CAN
BKBWTEAM5---CHN01,CHN
BKBWTEAM5---ESP01,ESP
BKBWTEAM5---FRA01,FRA
BKBWTEAM5---GER01,GER
BKBWTEAM5---JPN01,JPN
BKBWTEAM5---NGR01,NGR
BKBWTEAM5---PUR01,PUR
BKBWTEAM5---SRB01,SRB
BKBWTEAM5---USA01,USA
CSPMC2-500M-AIN01,AIN
CSPMC2-500M-ANG01,ANG
CSPMC2-500M-BRA01,BRA
CSPMC2-500M-CHN01,CHN
CSPMC2-500M-CZE01,CZE
CSPMC2-500M-ESP01,ESP
CSPMC2-500M-FRA01,FRA
CSPMC2-500M-GER01,GER
CSPMC2-500M-HUN01,HUN
CSPMC2-500M-ITA01,ITA
CSPMC2-500M-KAZ01,KAZ
CSPMC2-500M-NZL01,NZL
CSPMC2-500M-ROU01,ROU
CSPMK2-500M-AUS01,AUS
CSPMK2-500M-CAN01,CAN
CSPMK2-500M-CHN01,CHN
CSPMK2-500M-CZE01,CZE
CSPMK2-500M-ESP01,ESP
CSPMK2-500M-ESP02,ESP
CSPMK2-500M-GER01,GER
CSPMK2-500M-GER02,GER
CSPMK2-500M-HUN01,HUN
CSPMK2-500M-HUN02,HUN
CSPMK2-500M-KAZ01,KAZ
CSPMK2-500M-LTU01,LTU
CSPMK2-500M-NZL01,NZL
CSPMK2-500M-POL01,POL
CSPMK2-500M-POR01,POR
CSPMK2-500M-RSA01,RSA
CSPMK2-500M-SRB01,SRB
CSPMK2-500M-SRB02,SRB
CSPMK2-500M-UKR01,UKR
CSPMK2-500M-USA01,USA
CSPMK4-500M-AUS01,AUS
CSPMK4-500M-CAN01,CAN
CSPMK4-500M-CHN01,CHN
CSPMK4-500M-DEN01,DEN
CSPMK4-500M-ESP01,ESP
CSPMK4-500M-GER01,GER
CSPMK4-500M-HUN01,HUN
CSPMK4-500M-LTU01,LTU
CSPMK4-500M-NZL01,NZL
CSPMK4-500M-SRB01,SRB
CSPMK4-500M-UKR01,UKR
CSPWC2-500M-CAN01,CAN
CSPWC2-500M-CHI01,CHI
CSPWC2-500M-CHN01,CHN
CSPWC2-500M-CUB01,CUB
CSPWC2-500M-ESP01,ESP
CSPWC2-500M-FRA01,FRA
CSPWC2-500M-GER01,GER
CSPWC2-500M-HUN01,HUN
CSPWC2-500M-KAZ01,KAZ
CSPWC2-500M-MDA01,MDA
CSPWC2-500M-NGR01,NGR
CSPWC2-500M-POL01,POL
CSPWC2-500M-UKR01,UKR
CSPWK2-500M-AUS01,AUS
CSPWK2-500M-BEL01,BEL
CSPWK2-500M-CAN01,CAN
CSPWK2-500M-CHN01,CHN
